Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1800712,LAKE MACQUARIE,2020-10-13 00:00:00,2020-10-13 00:51:00,106,124.0,Environmental
1800716,BANKSTOWN,2020-10-13 00:00:00,2020-10-13 05:38:00,488,63.0,Equipment fault
1800762,WILLOUGHBY,2020-10-13 00:00:00,2020-10-13 08:50:00,70,105.0,Environmental
1800860,LEICHHARDT,2020-10-13 00:00:00,2020-10-13 14:06:36,99,70.4,Operating fault
1800888,WYONG,2020-10-13 00:00:00,2020-10-13 16:20:00,141,124.13475177305,Equipment fault
1800894,GOSFORD,2020-10-13 00:00:00,2020-10-13 16:25:00,64,95.0,Equipment fault
1800931,GOSFORD,2020-10-13 00:00:00,2020-10-13 19:49:00,835,96.0,Equipment fault
1800951,WARRINGAH,2020-10-14 00:00:00,2020-10-14 06:17:00,73,272.720547945206,Third party
1800987,PORT STEPHENS,2020-10-14 00:00:00,2020-10-14 09:10:00,1448,65.7610497237569,Environmental
1800998,BANKSTOWN,2020-10-14 00:00:00,2020-10-14 09:26:00,1564,63.0,Environmental
1801050,SYDNEY,2020-10-14 00:00:00,2020-10-14 11:45:00,90,155.0,Environmental
1801124,SCONE,2020-10-14 00:00:00,2020-10-14 21:48:00,276,78.5869565217391,Equipment fault
1801125,SUTHERLAND,2020-10-15 00:00:00,2020-10-15 00:20:00,56,60.0,Equipment fault
1801243,NEWCASTLE,2020-10-15 00:00:00,2020-10-15 12:30:00,218,215.348623853211,Equipment fault
1801278,LAKE MACQUARIE,2020-10-15 00:00:00,2020-10-15 19:24:28,83,14.4333333333333,Environmental
1801325,NORTH SYDNEY,2020-10-16 00:00:00,2020-10-16 06:25:00,62,2044.84677419355,Equipment fault
1801344,PORT STEPHENS,2020-10-16 00:00:00,2020-10-16 08:42:00,788,44.2131979695431,Equipment fault
1801487,ROCKDALE,2020-10-16 00:00:00,2020-10-16 20:30:00,54,90.0,Equipment fault
1801502,WYONG,2020-10-17 00:00:00,2020-10-17 03:52:00,164,60.0,Environmental
1801506,CANTERBURY,2020-10-17 00:00:00,2020-10-17 04:32:31,91,262.483333333333,Equipment fault
1801550,MUSWELLBROOK,2020-10-17 00:00:00,2020-10-17 11:15:00,56,135.196428571429,Environmental
1801576,PORT STEPHENS,2020-10-17 00:00:00,2020-10-17 13:11:00,102,163.470588235294,Environmental
1801585,BANKSTOWN,2020-10-17 00:00:00,2020-10-17 14:40:00,70,45.0,Equipment fault
1801601,RANDWICK,2020-10-17 00:00:00,2020-10-17 16:40:00,210,45.0,Equipment fault
1801634,WARRINGAH,2020-10-18 00:00:00,2020-10-18 05:25:07,535,102.883333333333,Environmental
1801677,WYONG,2020-10-18 00:00:00,2020-10-18 17:02:21,325,341.935230769231,Environmental
1801704,GOSFORD,2020-10-18 00:00:00,2020-10-18 22:00:00,185,270.0,Third party
1801717,SOUTH SYDNEY,2020-10-19 00:00:00,2020-10-19 04:04:00,2316,32.5981873111783,Equipment fault
1801802,CESSNOCK,2020-10-19 00:00:00,2020-10-19 10:24:00,226,93.0,Third party
1801887,BANKSTOWN,2020-10-19 00:00:00,2020-10-19 15:17:00,2507,53.0,Environmental
1801986,PITTWATER,2020-10-20 00:00:00,2020-10-20 08:40:00,59,35.0,Operating fault
1802066,WOOLLAHRA,2020-10-20 00:00:00,2020-10-20 13:25:00,83,365.0,Third party
1802073,WYONG,2020-10-20 00:00:00,2020-10-20 14:03:00,160,79.66875,Environmental
1802142,PITTWATER,2020-10-20 00:00:00,2020-10-20 21:47:06,74,432.9,Equipment fault
1802153,BOTANY,2020-10-21 00:00:00,2020-10-21 07:05:00,55,104.990058479532,Third party
1802270,WYONG,2020-10-21 00:00:00,2020-10-21 15:06:00,134,75.0,Environmental
1802343,BANKSTOWN,2020-10-22 00:00:00,2020-10-22 08:05:05,91,894.747985347986,Third party
1802478,CESSNOCK,2020-10-22 00:00:00,2020-10-22 17:05:00,52,65.0,Third party
1802453,LAKE MACQUARIE,2020-10-22 00:00:00,2020-10-22 18:05:00,156,35.0,Equipment fault
1802487,GOSFORD,2020-10-22 00:00:00,2020-10-22 18:15:00,102,51.9607843137255,Equipment fault
1804337,DRUMMOYNE,2020-10-23 00:00:00,2020-10-23 16:05:00,4835,6.0,Environmental
1802679,BOTANY,2020-10-23 00:00:00,2020-10-23 20:51:45,63,248.25,Environmental
1802685,HURSTVILLE,2020-10-23 00:00:00,2020-10-23 23:20:00,1017,90.5494613124388,Environmental
1802703,LAKE MACQUARIE,2020-10-24 00:00:00,2020-10-24 06:24:00,87,84.0,Environmental
1802747,DRUMMOYNE,2020-10-24 00:00:00,2020-10-24 09:17:32,56,257.466666666667,Third party
1802753,ROCKDALE,2020-10-24 00:00:00,2020-10-24 10:25:00,2026,108.845584607795,Equipment fault
1802755,WARRINGAH,2020-10-24 00:00:00,2020-10-24 10:35:00,78,168.0,Equipment fault
1802762,WYONG,2020-10-24 00:00:00,2020-10-24 10:49:00,101,291.39603960396,Equipment fault
1802791,GOSFORD,2020-10-24 00:00:00,2020-10-24 13:46:00,87,115.287356321839,Environmental
1802823,SINGLETON,2020-10-24 00:00:00,2020-10-24 18:57:00,502,94.5677290836653,Environmental
1802848,NEWCASTLE,2020-10-24 00:00:00,2020-10-24 20:46:00,1378,61.1436865021771,Lightning
1802854,WYONG,2020-10-24 00:00:00,2020-10-24 21:50:17,57,59.7166666666667,Environmental
1802995,KOGARAH,2020-10-25 00:00:00,2020-10-25 20:36:00,1316,51.0,Equipment fault
1803017,PITTWATER,2020-10-25 00:00:00,2020-10-25 22:06:00,1840,154.273615635179,Equipment fault
1803356,KOGARAH,2020-10-25 00:00:00,2020-10-25 22:22:00,184,118.0,Equipment fault
1803018,KOGARAH,2020-10-26 00:00:00,2020-10-26 00:06:00,2470,12.0,Equipment fault
1803038,GOSFORD,2020-10-26 00:00:00,2020-10-26 00:50:00,114,62.9473684210526,Environmental
1803049,GOSFORD,2020-10-26 00:00:00,2020-10-26 03:43:00,1606,93.4850746268657,Equipment fault
1803054,HORNSBY,2020-10-26 00:00:00,2020-10-26 04:49:00,80,122.0,Environmental
1803050,KU-RING-GAI,2020-10-26 00:00:00,2020-10-26 05:58:00,1092,170.335164835165,Equipment fault
1803079,GOSFORD,2020-10-26 00:00:00,2020-10-26 06:45:00,848,57.0,Environmental
1803101,WARRINGAH,2020-10-26 00:00:00,2020-10-26 06:57:00,61,753.0,Environmental
1803097,RANDWICK,2020-10-26 00:00:00,2020-10-26 07:07:00,52,71.0,Environmental
1803090,WYONG,2020-10-26 00:00:00,2020-10-26 07:30:02,53,119.966666666667,Environmental
1803119,PITTWATER,2020-10-26 00:00:00,2020-10-26 07:39:00,5821,54.0,Environmental
1803122,CANTERBURY,2020-10-26 00:00:00,2020-10-26 07:42:21,70,134.65,Environmental
1803153,WARRINGAH,2020-10-26 00:00:00,2020-10-26 08:16:00,576,97.0,Equipment fault
1803225,WYONG,2020-10-26 00:00:00,2020-10-26 09:29:18,220,135.7,Environmental
1803275,PORT STEPHENS,2020-10-26 00:00:00,2020-10-26 09:45:00,586,74.0,Environmental
1803428,LAKE MACQUARIE,2020-10-26 00:00:00,2020-10-26 12:07:00,58,148.0,Equipment fault
1803450,SOUTH SYDNEY,2020-10-26 00:00:00,2020-10-26 12:36:48,126,48.2,Environmental
1803478,HORNSBY,2020-10-26 00:00:00,2020-10-26 12:58:00,1025,110.367704280156,Equipment fault
1803528,SUTHERLAND,2020-10-26 00:00:00,2020-10-26 15:10:00,55,105.0,Environmental
1803601,WYONG,2020-10-26 00:00:00,2020-10-26 17:25:53,51,44.1166666666667,Equipment fault
1803562,SUTHERLAND,2020-10-26 00:00:00,2020-10-26 19:15:00,78,295.0,Third party
1803652,NEWCASTLE,2020-10-26 00:00:00,2020-10-26 20:12:00,83,281.33734939759,Equipment fault
1803554,SUTHERLAND,2020-10-26 00:00:00,2020-10-26 22:35:00,64,60.0,Environmental
1803685,MERRIWA,2020-10-27 00:00:00,2020-10-27 00:04:00,53,41.0,Environmental
1803696,CANTERBURY,2020-10-27 00:00:00,2020-10-27 05:58:00,2604,57.4483685220729,Equipment fault
1803707,GOSFORD,2020-10-27 00:00:00,2020-10-27 06:59:56,57,360.066666666667,Equipment fault
1803738,SUTHERLAND,2020-10-27 00:00:00,2020-10-27 08:45:12,58,94.8,Environmental
1803797,GOSFORD,2020-10-27 00:00:00,2020-10-27 10:50:00,53,46.75,Equipment fault
1803827,BANKSTOWN,2020-10-27 00:00:00,2020-10-27 12:15:00,60,105.0,Third party
1803828,BANKSTOWN,2020-10-27 00:00:00,2020-10-27 12:15:00,87,165.0,Third party
1803885,CESSNOCK,2020-10-27 00:00:00,2020-10-27 15:01:00,609,122.609195402299,Equipment fault
1803919,RYDE,2020-10-27 00:00:00,2020-10-27 16:58:00,1360,88.3929618768329,Equipment fault
1803920,KU-RING-GAI,2020-10-27 00:00:00,2020-10-27 17:00:00,118,213.305084745763,Equipment fault
1803960,BANKSTOWN,2020-10-27 00:00:00,2020-10-27 19:40:00,134,40.0,Third party
1803981,MAITLAND,2020-10-28 00:00:00,2020-10-28 02:23:00,59,369.0,Third party
1804139,SUTHERLAND,2020-10-28 00:00:00,2020-10-28 16:05:00,82,100.0,Third party
1804186,GOSFORD,2020-10-28 00:00:00,2020-10-28 21:14:59,59,81.0282485875706,Equipment fault
1804196,HUNTERS HILL,2020-10-29 00:00:00,2020-10-29 04:30:00,1174,96.5688775510204,Equipment fault
1804228,RANDWICK,2020-10-29 00:00:00,2020-10-29 07:50:56,122,167.912568306011,Third party
1804219,KOGARAH,2020-10-29 00:00:00,2020-10-29 08:16:00,64,168.9921875,Environmental
1804273,WOOLLAHRA,2020-10-29 00:00:00,2020-10-29 10:36:09,52,107.533333333333,Environmental
1804410,LAKE MACQUARIE,2020-10-29 00:00:00,2020-10-29 16:56:00,105,49.0,Equipment fault
1804437,WYONG,2020-10-29 00:00:00,2020-10-29 21:03:00,1016,39.7630285152409,Equipment fault
1804445,WARRINGAH,2020-10-29 00:00:00,2020-10-29 23:15:00,4710,117.657330787184,Equipment fault
1804657,MOSMAN,2020-10-31 00:00:00,2020-10-31 02:45:00,70,97.0,Third party
1804708,CESSNOCK,2020-10-31 00:00:00,2020-10-31 11:45:00,214,79.0046511627907,Environmental
1804664,PITTWATER,2020-10-31 00:00:00,2020-10-31 16:00:00,184,1050.0,Third party
1804768,PITTWATER,2020-10-31 00:00:00,2020-10-31 16:24:00,4761,10.0,Environmental
1804820,WAVERLEY,2020-11-01 00:00:00,2020-11-01 06:04:32,64,2695.46666666667,Equipment fault
1804957,PORT STEPHENS,2020-11-01 00:00:00,2020-11-01 20:16:00,1767,80.0,Equipment fault
1804973,PORT STEPHENS,2020-11-01 00:00:00,2020-11-01 22:20:00,1130,67.7699115044248,Equipment fault
1804978,GOSFORD,2020-11-01 00:00:00,2020-11-01 23:30:00,63,780.0,Equipment fault
1804993,SOUTH SYDNEY,2020-11-02 00:00:00,2020-11-02 06:20:29,95,159.516666666666,Environmental
1804995,SUTHERLAND,2020-11-02 00:00:00,2020-11-02 07:12:00,691,61.4726224783862,Operating fault
1805008,WYONG,2020-11-02 00:00:00,2020-11-02 07:55:00,1087,80.1379944802208,Third party
1805149,WAVERLEY,2020-11-02 00:00:00,2020-11-02 13:48:57,132,790.935227272727,Equipment fault
1805219,RANDWICK,2020-11-02 00:00:00,2020-11-02 18:58:00,206,116.537216828479,Equipment fault
1805211,BANKSTOWN,2020-11-02 00:00:00,2020-11-02 19:15:00,215,144.744186046512,Equipment fault
1805232,PORT STEPHENS,2020-11-03 00:00:00,2020-11-03 00:13:00,1614,126.0,Environmental
1805305,PITTWATER,2020-11-03 00:00:00,2020-11-03 11:43:00,169,718.254437869823,Equipment fault
1805346,PORT STEPHENS,2020-11-03 00:00:00,2020-11-03 13:40:00,700,123.88,Equipment fault
1805382,WARRINGAH,2020-11-03 00:00:00,2020-11-03 14:49:00,53,36.0,Environmental
1805422,BANKSTOWN,2020-11-03 00:00:00,2020-11-03 18:10:00,2172,76.2274816176471,Equipment fault
1805518,HURSTVILLE,2020-11-04 00:00:00,2020-11-04 12:18:00,69,156.75265700483,Equipment fault
1805594,NEWCASTLE,2020-11-04 00:00:00,2020-11-04 14:51:00,1227,142.964983713355,Environmental
1805650,RYDE,2020-11-04 00:00:00,2020-11-04 19:06:57,51,33.05,Environmental
1805664,RYDE,2020-11-04 00:00:00,2020-11-04 23:45:00,428,54.588785046729,Equipment fault
1805711,WYONG,2020-11-05 00:00:00,2020-11-05 09:00:00,199,99.0,Environmental
1805752,SUTHERLAND,2020-11-05 00:00:00,2020-11-05 10:44:15,105,70.75,Equipment fault
1805786,SUTHERLAND,2020-11-05 00:00:00,2020-11-05 11:32:00,1223,139.672653061224,Equipment fault
1805940,GOSFORD,2020-11-05 00:00:00,2020-11-05 22:15:36,66,596.957575757576,Environmental
1805950,LAKE MACQUARIE,2020-11-06 00:00:00,2020-11-06 03:47:37,54,102.383333333333,Third party
1806155,SOUTH SYDNEY,2020-11-07 00:00:00,2020-11-07 04:28:39,95,121.35,Environmental
1806143,WAVERLEY,2020-11-07 00:00:00,2020-11-07 08:45:00,64,495.0,Equipment fault
1806247,BANKSTOWN,2020-11-07 00:00:00,2020-11-07 12:12:00,1668,45.448502994012,Environmental
1806299,HURSTVILLE,2020-11-07 00:00:00,2020-11-07 16:29:00,362,42.5796703296703,Environmental
1806267,AUBURN,2020-11-07 00:00:00,2020-11-07 17:27:06,82,42.9,Equipment fault
1806323,MUSWELLBROOK,2020-11-07 00:00:00,2020-11-07 18:40:00,185,62.0,Environmental
1806371,ROCKDALE,2020-11-07 00:00:00,2020-11-07 22:33:00,2266,114.251433612704,Environmental
1806445,GOSFORD,2020-11-09 00:00:00,2020-11-09 02:41:00,1106,96.0180831826401,Equipment fault
1806472,LANE COVE,2020-11-09 00:00:00,2020-11-09 08:21:07,88,138.883333333333,Third party
1806469,SUTHERLAND,2020-11-09 00:00:00,2020-11-09 08:33:14,76,406.766666666667,Equipment fault
1806674,ROCKDALE,2020-11-10 00:00:00,2020-11-10 05:56:00,1389,95.0814285714286,Environmental
1806678,LAKE MACQUARIE,2020-11-10 00:00:00,2020-11-10 06:14:28,109,380.533333333333,Equipment fault
1806825,MARRICKVILLE,2020-11-10 00:00:00,2020-11-10 13:15:00,65,165.0,Equipment fault
1806951,SUTHERLAND,2020-11-11 00:00:00,2020-11-11 09:38:00,1520,143.360526315789,Equipment fault
1807025,WYONG,2020-11-11 00:00:00,2020-11-11 13:34:00,81,269.765432098765,Third party
1807068,CANTERBURY,2020-11-11 00:00:00,2020-11-11 16:30:00,77,70.0,Equipment fault
1806997,BANKSTOWN,2020-11-11 00:00:00,2020-11-11 19:58:00,62,5.0,Environmental
1807096,BANKSTOWN,2020-11-11 00:00:00,2020-11-11 21:24:00,1228,91.3376729048007,Equipment fault
1807223,MARRICKVILLE,2020-11-12 00:00:00,2020-11-12 15:00:00,83,100.0,Equipment fault
1807597,ROCKDALE,2020-11-12 00:00:00,2020-11-12 22:21:05,62,1121.91666666667,Equipment fault
1807305,BANKSTOWN,2020-11-13 00:00:00,2020-11-13 02:41:00,735,114.59565807327,Equipment fault
1807397,WYONG,2020-11-13 00:00:00,2020-11-13 12:09:00,106,130.103773584906,Environmental
1807501,GOSFORD,2020-11-13 00:00:00,2020-11-13 16:17:00,73,171.643835616438,Equipment fault
1807477,GOSFORD,2020-11-13 00:00:00,2020-11-13 16:32:00,54,208.0,Environmental
1807515,CESSNOCK,2020-11-13 00:00:00,2020-11-13 18:45:00,65,107.815217391304,Equipment fault
1807535,RANDWICK,2020-11-13 00:00:00,2020-11-13 23:02:00,1832,75.646288209607,Equipment fault
1807556,RYDE,2020-11-14 00:00:00,2020-11-14 08:47:00,1167,77.6849315068493,Equipment fault
1807598,HURSTVILLE,2020-11-14 00:00:00,2020-11-14 12:59:31,75,343.183333333333,Environmental
1807600,MARRICKVILLE,2020-11-14 00:00:00,2020-11-14 16:36:23,177,48.5481167608286,Environmental
1807651,ROCKDALE,2020-11-15 00:00:00,2020-11-15 02:18:00,176,87.0,Equipment fault
1807699,CANTERBURY,2020-11-15 00:00:00,2020-11-15 14:05:12,62,124.8,Third party
1807711,SYDNEY,2020-11-15 00:00:00,2020-11-15 16:06:00,1393,67.9799139167862,Equipment fault
1807738,WYONG,2020-11-15 00:00:00,2020-11-15 20:39:00,78,33.2307692307692,Equipment fault
1808017,BANKSTOWN,2020-11-17 00:00:00,2020-11-17 01:25:00,60,20.0,Equipment fault
1808496,RYDE,2020-11-17 00:00:00,2020-11-17 03:35:00,56,305.0,Environmental
1808772,NEWCASTLE,2020-11-17 00:00:00,2020-11-17 10:00:00,82,338.0,Environmental
1808690,NEWCASTLE,2020-11-17 00:00:00,2020-11-17 12:18:00,181,87.0,Environmental
1808733,NEWCASTLE,2020-11-17 00:00:00,2020-11-17 17:50:00,59,15.0,Environmental
1808920,BANKSTOWN,2020-11-17 00:00:00,2020-11-17 18:52:00,2237,93.483266398929,Environmental
1808961,HORNSBY,2020-11-18 00:00:00,2020-11-18 00:05:00,121,37.0,Equipment fault
1808992,KU-RING-GAI,2020-11-18 00:00:00,2020-11-18 05:50:00,51,290.0,Environmental
1809275,NEWCASTLE,2020-11-18 00:00:00,2020-11-18 20:25:00,550,65.0,Equipment fault
1809483,WOOLLAHRA,2020-11-19 00:00:00,2020-11-19 16:57:00,53,113.0,Equipment fault
1809508,PITTWATER,2020-11-19 00:00:00,2020-11-19 19:07:00,64,843.0,Environmental
1809580,LAKE MACQUARIE,2020-11-20 00:00:00,2020-11-20 10:01:00,56,90.0526315789474,Equipment fault
1809689,HORNSBY,2020-11-20 00:00:00,2020-11-20 16:47:00,52,88.0,Lightning
1809692,HORNSBY,2020-11-20 00:00:00,2020-11-20 16:47:00,160,127.0,Environmental
1809719,SINGLETON,2020-11-20 00:00:00,2020-11-20 20:33:54,58,179.1,Environmental
1809736,CANTERBURY,2020-11-20 00:00:00,2020-11-20 21:21:00,71,58.7042253521127,Environmental
1809739,BANKSTOWN,2020-11-20 00:00:00,2020-11-20 21:35:31,78,214.6,Environmental
1809852,BOTANY,2020-11-21 00:00:00,2020-11-21 14:18:00,699,57.8998569384835,Equipment fault
1809863,MANLY,2020-11-21 00:00:00,2020-11-21 15:50:00,1669,103.567923399162,Environmental
1809913,MERRIWA,2020-11-21 00:00:00,2020-11-21 20:37:00,181,610.85635359116,Environmental
1809915,MERRIWA,2020-11-21 00:00:00,2020-11-21 20:44:00,199,118.165829145729,Environmental
1809916,MERRIWA,2020-11-21 00:00:00,2020-11-21 20:51:00,138,313.195652173913,Equipment fault
1809920,AUBURN,2020-11-21 00:00:00,2020-11-21 22:39:00,240,81.7166666666667,Equipment fault
1809903,BANKSTOWN,2020-11-22 00:00:00,2020-11-22 00:50:00,82,60.0,Environmental
1809926,HURSTVILLE,2020-11-22 00:00:00,2020-11-22 01:15:00,1024,83.9384765625,Third party
1809932,SUTHERLAND,2020-11-22 00:00:00,2020-11-22 05:27:00,1357,171.086956521739,Equipment fault
1810015,WYONG,2020-11-22 00:00:00,2020-11-22 15:52:00,220,105.009090909091,Environmental
1810072,SOUTH SYDNEY,2020-11-22 00:00:00,2020-11-22 18:33:00,207,53.0531400966184,Equipment fault
1810097,HURSTVILLE,2020-11-23 00:00:00,2020-11-23 01:57:00,838,93.0,Equipment fault
1810136,HORNSBY,2020-11-23 00:00:00,2020-11-23 07:55:00,3043,100.922116332567,Environmental
1810223,CANTERBURY,2020-11-23 00:00:00,2020-11-23 10:56:00,70,64.0,Equipment fault
1810369,BOTANY,2020-11-23 00:00:00,2020-11-23 15:13:07,57,176.883333333333,Third party
1810331,NEWCASTLE,2020-11-23 00:00:00,2020-11-23 17:44:00,159,26.0,Environmental
1810599,HORNSBY,2020-11-24 00:00:00,2020-11-24 11:38:40,73,131.333333333333,Equipment fault
1810713,WARRINGAH,2020-11-24 00:00:00,2020-11-24 15:53:00,57,112.0,Third party
1810729,MARRICKVILLE,2020-11-24 00:00:00,2020-11-24 16:25:00,200,29.8071666666667,Third party
1810831,NORTH SYDNEY,2020-11-25 00:00:00,2020-11-25 10:33:19,89,551.683333333334,Environmental
1810952,MARRICKVILLE,2020-11-25 00:00:00,2020-11-25 18:51:00,78,129.0,Environmental
1810981,HORNSBY,2020-11-25 00:00:00,2020-11-25 21:10:00,1234,162.23786407767,Cable dig
1810988,HURSTVILLE,2020-11-25 00:00:00,2020-11-25 22:34:06,70,130.9,Environmental
1811125,CESSNOCK,2020-11-26 00:00:00,2020-11-26 15:01:00,56,199.0,Third party
1811139,CESSNOCK,2020-11-26 00:00:00,2020-11-26 15:42:00,141,69.0,Equipment fault
1811221,NORTH SYDNEY,2020-11-27 00:00:00,2020-11-27 01:04:00,100,427.0,Equipment fault
1811311,WARRINGAH,2020-11-27 00:00:00,2020-11-27 10:15:00,53,535.0,Equipment fault
1811356,SYDNEY,2020-11-27 00:00:00,2020-11-27 15:19:00,843,83.8957345971564,Equipment fault
1811418,BANKSTOWN,2020-11-28 00:00:00,2020-11-28 00:05:00,1229,193.889430894309,Equipment fault
1811472,WARRINGAH,2020-11-28 00:00:00,2020-11-28 11:33:00,1177,53.0526315789474,Equipment fault
1811508,WARRINGAH,2020-11-28 00:00:00,2020-11-28 13:03:00,91,63.9450549450549,Environmental
1811515,BOTANY,2020-11-28 00:00:00,2020-11-28 13:17:00,406,59.531862745098,Equipment fault
1811518,WARRINGAH,2020-11-28 00:00:00,2020-11-28 13:17:00,1112,95.9200359389039,Environmental
1811536,MUSWELLBROOK,2020-11-28 00:00:00,2020-11-28 14:17:00,869,88.0,Environmental
1811570,KOGARAH,2020-11-28 00:00:00,2020-11-28 16:15:41,865,164.316666666667,Environmental
1811579,BANKSTOWN,2020-11-28 00:00:00,2020-11-28 16:25:00,2314,402.106850495476,Equipment fault
1811590,ROCKDALE,2020-11-28 00:00:00,2020-11-28 16:26:00,876,69.5781071835804,Equipment fault
1811589,ASHFIELD,2020-11-28 00:00:00,2020-11-28 16:28:26,63,1096.56666666667,Environmental
1811606,BANKSTOWN,2020-11-28 00:00:00,2020-11-28 16:33:00,84,1066.59285714286,Equipment fault
1811620,WILLOUGHBY,2020-11-28 00:00:00,2020-11-28 16:43:00,95,417.0,Environmental
1811630,NEWCASTLE,2020-11-28 00:00:00,2020-11-28 16:54:00,142,96.0,Environmental
1811634,CHATSWOOD,2020-11-28 00:00:00,2020-11-28 16:59:00,2668,92.8887640449438,Equipment fault
1811705,KU-RING-GAI,2020-11-28 00:00:00,2020-11-28 17:00:00,60,160.0,Environmental
1811637,KU-RING-GAI,2020-11-28 00:00:00,2020-11-28 17:01:00,1258,187.583002382844,Equipment fault
1811645,CANADA BAY,2020-11-28 00:00:00,2020-11-28 17:17:00,1901,108.321428571429,Equipment fault
1811670,BANKSTOWN,2020-11-28 00:00:00,2020-11-28 17:38:00,87,442.0,Equipment fault
1811682,SUTHERLAND,2020-11-28 00:00:00,2020-11-28 17:44:00,1073,9.0,Equipment fault
